epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,6642.52,0.57374,0.23648,1.00728,0.91399,0.85116,0.94243,0.57655,1.45514,0.64034,2.24222,0.000109,0.000109,0.000109
92,6715.85,0.57221,0.2318,1.00704,0.92506,0.89667,0.95919,0.58516,1.44748,0.58777,2.23702,9.91e-05,9.91e-05,9.91e-05
93,6788.95,0.57241,0.23122,1.00139,0.93725,0.90846,0.94655,0.57766,1.49496,0.57582,2.27663,8.92e-05,8.92e-05,8.92e-05
94,6862,0.56765,0.23228,1.01202,0.95231,0.91374,0.95594,0.6002,1.4106,0.54729,2.16501,7.93e-05,7.93e-05,7.93e-05
95,6935.21,0.56217,0.22646,1.00254,0.93346,0.91782,0.95876,0.59356,1.43681,0.55457,2.20219,6.94e-05,6.94e-05,6.94e-05
96,7008.36,0.56053,0.22641,1.00193,0.91855,0.89271,0.94149,0.5773,1.49225,0.58163,2.27441,5.95e-05,5.95e-05,5.95e-05
97,7081.5,0.55393,0.22463,0.9993,0.91558,0.90421,0.94773,0.59901,1.43863,0.54853,2.21007,4.96e-05,4.96e-05,4.96e-05
98,7154.57,0.55473,0.22143,0.98366,0.91159,0.91343,0.94894,0.59677,1.47236,0.56066,2.27726,3.97e-05,3.97e-05,3.97e-05
99,7227.65,0.54615,0.22013,0.99193,0.9247,0.87541,0.93675,0.59323,1.47364,0.55871,2.29033,2.98e-05,2.98e-05,2.98e-05
100,7300.83,0.54566,0.21776,0.98367,0.92779,0.88033,0.94128,0.59075,1.47785,0.56798,2.29499,1.99e-05,1.99e-05,1.99e-05
